Date,Open,High,Low,Close,Adj Close,Volume
14/3/17,178.539993,179.690002,177.710007,178.729996,168.128113,2346700
15/3/17,179,179.240005,177.970001,178.710007,168.109329,3569000
16/3/17,179.820007,180,177.639999,178.190002,167.620132,3100700
17/3/17,178.309998,180.380005,178.169998,180.100006,169.416855,5037400
20/3/17,180.100006,180.149994,179.139999,179.389999,168.748962,2062200
21/3/17,179.990005,180.25,175.5,175.960007,165.522415,3239600
22/3/17,175.960007,177.100006,175.5,176.979996,166.481903,2505700
23/3/17,177.339996,177.850006,176.589996,177.259995,166.7453,2006400
24/3/17,176.850006,177.529999,174.770004,175.820007,165.390732,2386800
27/3/17,174.369995,176.440002,173.75,176.100006,165.654129,2750700
28/3/17,176.289993,177.679993,175,177.360001,166.839371,2412600
29/3/17,177.399994,177.990005,176.970001,177.630005,167.093369,1640600
30/3/17,177.25,178.490005,177.220001,177.979996,167.422607,1737200
31/3/17,178.020004,178.179993,176.809998,176.860001,166.369003,2032700
3/4/17,177.080002,177.729996,175.5,176.649994,166.171463,2934800
4/4/17,176.880005,178.789993,176.759995,178.699997,168.099899,2326500
5/4/17,179,180.179993,176.889999,177.080002,166.575974,2567200
6/4/17,177.559998,178.220001,177.119995,177.369995,166.848785,2343600
7/4/17,178.389999,179.089996,177.259995,178.850006,168.240997,2806900
10/4/17,179,179.970001,177.479996,177.559998,167.027496,2309300
11/4/17,177.5,178.600006,176.960007,178.570007,167.977585,2266300
12/4/17,178.25,178.25,175.940002,176.050003,165.607086,2922700
13/4/17,175.740005,176.880005,175.559998,175.619995,165.202606,2024100
17/4/17,175.839996,179.080002,175.649994,179.020004,168.400894,2450200
18/4/17,178.589996,179.970001,177.119995,177.850006,167.300323,2960200
19/4/17,178.470001,179.899994,178.160004,178.399994,167.817673,2124500
20/4/17,178.740005,179.820007,178.350006,179.300003,168.664307,2335200
21/4/17,179.419998,180.929993,179.419998,180.380005,169.680206,3146600
24/4/17,181.75,182.460007,181.610001,182.059998,171.260574,3141900
25/4/17,182.529999,183.850006,182.529999,183.509995,172.624573,3735400
26/4/17,182.309998,183,180.110001,181.710007,170.931305,4471600
27/4/17,182.589996,183.759995,182.589996,183.220001,172.351761,3129100
28/4/17,183.419998,184.929993,183.020004,184.830002,173.866272,2181600
1/5/17,184.229996,184.490005,181.800003,182.389999,171.571014,3516700
2/5/17,182.539993,183.910004,182.529999,183.440002,172.558731,1979800
3/5/17,183.449997,183.75,182.25,183.389999,172.511688,2983200
4/5/17,183.330002,184.25,182.179993,183.070007,172.210678,2289300
5/5/17,183.160004,185.070007,183.160004,185.009995,174.035583,2636900
8/5/17,185.380005,186.389999,185,186.020004,174.985672,1963400
9/5/17,186.110001,187.210007,186.050003,186.910004,175.822891,3004000
10/5/17,185.139999,185.649994,178.179993,183.179993,173.63327,7060100
11/5/17,182.899994,184.330002,182.169998,183.940002,174.353683,2883800
12/5/17,183.710007,183.979996,182.630005,183.25,173.699615,3479200
15/5/17,183.300003,184.110001,182.279999,182.389999,172.88446,3365000
16/5/17,182.729996,183.149994,182.039993,182.699997,173.178284,2156100
17/5/17,182.699997,182.699997,178.679993,178.779999,169.462601,2535700
18/5/17,178.479996,178.5,175.470001,177.399994,168.154495,3118100
19/5/17,177.729996,181.419998,176.770004,180.759995,171.339401,4038900
22/5/17,183.779999,185.320007,182.520004,183.669998,174.097763,2946800
23/5/17,184,184.460007,182.860001,183.490005,173.927124,2123800
24/5/17,183.460007,185.399994,183.460007,185.25,175.595398,2424700
25/5/17,185.630005,187.419998,185.589996,187.070007,177.320557,2363300
26/5/17,186.729996,187.610001,186.270004,186.589996,176.86557,1735800
30/5/17,186.759995,187.419998,186.190002,186.880005,177.140442,2231600
31/5/17,187.369995,188.259995,186.720001,187.630005,177.851349,5186700
1/6/17,187.410004,187.910004,184.529999,187.320007,177.557526,2870200
2/6/17,187.820007,191.699997,187.649994,190.229996,180.315857,3034300
5/6/17,190.070007,190.740005,188.809998,188.949997,179.102585,2522100
6/6/17,188.410004,188.860001,186.690002,186.75,177.017242,2725000
7/6/17,186.850006,188.539993,186.389999,188.100006,178.29689,2383500
8/6/17,188.100006,191.070007,187.699997,189.929993,180.031479,2340300
9/6/17,190,190.990005,189.25,190.029999,180.126297,3344900
